NodeID,birthday;anonymized-ALL_NODES,education;concentration;id;anonymized-ALL_NODES,education;school;id;anonymized-ALL_NODES,education;type;anonymized-ALL_NODES,education;year;id;anonymized-ALL_NODES,first_name;anonymized-ALL_NODES,gender;anonymized-ALL_NODES,hometown;id;anonymized-ALL_NODES,last_name;anonymized-ALL_NODES,locale;anonymized-ALL_NODES,location;id;anonymized-ALL_NODES,name;anonymized-ALL_NODES
107, , ,52,54, , ,78, , ,127, , 
173, ,14,52,55,66, , , , , ,129, 
34, , , ,53-55,65, , , , ,127, , 
348, , ,228-232-52,54-55, , ,78, ,110, ,128, 
363, , ,230-232-52,54-55, , , ,84, , ,128, 
370, ,15,232-248-52,54-55,259, , , ,275, , , 
373, ,216,52,54-55, , , , ,324, , , 
374, ,15,232-233-52,54-55, , , , ,110, ,128, 
376, ,15,52,54-55,67, , , , ,127, , 
378,1, ,52,54-55,64, , , , ,278, , 
391,1, , ,54, , , , ,110, ,128, 
394, ,15-312,226-52,54,60-62, , ,84,275, ,128, 
395, ,15,229-248-52,54-55,255-61-66, , , , ,127, , 
400,0, ,228-52,54-55,64-67, , ,84, , ,128, 
412,209, , , , , , , , ,127, , 
414,0,15,228-237-52,53-54-55,67,323,78,84,327,127,129,329
422,208, ,228-229,55, , , , ,275, ,84, 
423, ,14,244-52,54-55,61-62-259, , , ,110, , , 
427, , ,52,54-55,71, , , , ,127, , 
428, ,14,230-52,54-55,257, , , , ,127, , 
431, , , , , , ,78, , ,127, , 
434, ,15,228-52,54-55,64, , ,84, ,278, , 
436, , , , , , ,78, , ,127, , 
438, ,15-216,232-52,54-55,254-255, , ,84, ,127, , 
461, , ,52, , , ,77, , , , , 
465, , , , , , ,78, , , , , 
475, , ,228-232-52,54-55, , , ,84,110, ,128, 
480,3, ,230-232,54-55,64-66, , ,84, ,127, , 
483, ,15,237-319-52,54-55,66, , ,84, , ,128, 
492, , , , , , ,77, , , , , 
496, ,15,232-52,54-55, , , , ,273, , , 
500,0, , , , , , , ,275, , , 
506,208, , ,53, , , ,128, , , , 
513, , , , , , ,78, , ,127, , 
514, , ,228-232-52,54-55,257, , ,84,110, ,128, 
515,1, ,232-248-52,54-55, , , ,84, , ,128, 
524,0, , ,53-54-55,67, , , ,273, , , 
542,1, ,226-52,54,62, , ,263, , ,128, 
544, ,15,228-232-52,54-55,65-258, , , ,273, ,129, 
553,211, ,232-248-52,54-55,62-259, , , , ,127, , 
556,0, ,228-52,54-55,60-62-67, , , , ,278, , 
558, ,14,228-232-52,54-55, , , ,84, ,127, , 
559, , ,228-52,54-55, , , ,128, , , , 
561, , ,244-247,55, , ,78, , ,278, , 
563, , ,228-52,54, , , ,84, ,127, , 
566,3, ,52,54-55, , , , , ,127, , 
567,211, ,228-52,54-55, , ,77, , ,127, , 
573,0, ,318,55, , ,78, , ,278, , 
574,209, , ,53-55,259, , ,84, , ,84, 
575, , ,318,54-55,67, , , , ,278, , 
576,0, , ,53-55,67, , , , ,278, , 
577, , ,228,54-55,66-257, , ,84, ,127, , 
578,1, , ,53-55,67, , ,84, , , , 
579,0, ,228-318-319,54-55,61-67, , ,84,273, , , 
580, , ,228-247-52,54-55, , , , ,273, ,128, 
581, , , , , , ,78, , , , , 
582,1, , ,53-54-55,67, , , ,275, , , 
583,1, , ,53-55, , ,78, , ,278, , 
584,2, ,237-247,55,71, , ,84, ,278, , 
586, , , , , , ,77, , , , , 
587, ,216,226-315,54, , ,77, , ,127, , 
588, , ,228-237-247,54-55, , ,78, , ,278, , 
589,0, ,237,55, , ,78, , , , , 
590, , ,228-229-322,54-55, , , ,84, ,127, , 
591,209, ,230-317-52,54-55, , , ,298, , ,128, 
592,0, ,229-230-248,54-55,61-66-67, , ,84,110, , , 
593,3, , ,53-55,71, , , , ,127, , 
594,2, ,52,54,66, , , , ,127, , 
595,1, , ,53-55, , ,77, , , , , 
596, , , , , , ,78, , ,278, , 
597,0, , ,55, , ,78, , , ,84, 
598,0, , ,53-55,67, , , , ,278, , 
599, , ,228-247,55, , ,77, , , ,84, 
600,0, ,247, , , ,78, , ,278, , 
601,0, ,237-52,54-55, , , , , ,127, , 
603, ,312, ,53-54-55,64-67, , ,84, ,127, , 
604, ,14,228-52,54-55,65-66, , ,84, ,127, , 
605,0, ,229-248,55,257, , ,84, , ,84, 
606, , ,317-52,54-55,65-66, , ,298, ,127, , 
609,0, , ,54, , , ,84, ,127, , 
610,1, , ,54, , ,78, , , ,128, 
611,0, , ,53-55,67, , , , ,278, , 
612,0, ,230,54-55,62-67, , ,84, , ,84, 
614, ,15,52,54, ,323, ,84,327, ,128, 
615, , , , , , ,77, , , , , 
616, , ,233-237,55, , ,77, ,273, ,84, 
617, , ,229-230-322,54-55,60-257, , ,84,110, , , 
618,0, ,247,55, , , ,84, ,278, , 
619,0, ,320-321,54-55,254-257, , , , ,278, , 
620, , , , , , ,78, ,110, , , 
621,209, , ,53-55,259, , , , ,278, , 
622,1, ,319,55,61, , ,84, , ,84, 
623, , , , , , ,77, , , , , 
625,1, ,319,55,67, , , ,328, , , 
626,0,216,229-230-248,54-55,257, , ,84, ,127, , 
627,1, , ,53-54-55,64-67, , , ,275, , , 
628, ,15-311,228-236,54,71, , ,84,110, , , 
629,208, ,228-229,54-55,59-64-259, , ,84, , , , 
630,0, ,318,55, , ,78, , ,278, , 
631,1, , ,53-55, , ,78, , ,278, , 
632, , ,228-236,54, , ,78, , , , , 
633,0, ,237-247,55,257, , ,84, ,278, , 
634,208, ,228-315,54-55,64, , ,263, ,127, , 
635, , ,321,54, , ,77, ,273, ,84, 
636,0, , ,53-55,67, , , , ,278, , 
637, , , , , , ,78, , , , , 
639,2, ,233-237-247,54-55,71, , , ,110, , , 
640, , ,228,55,67, , , , ,278, , 
641, ,217,230-237-52,54-55,60-61, , , ,273, ,128, 
642, , , , , , ,78, , , , , 
643,0, , ,53-54-55,65-67, , ,84, ,278, , 
644,0, ,229-230,54-55,64-257, , , , ,278, , 
645, , , ,53-55, , , , , ,278, , 
646, , ,228,54-55,62, , ,84, , , , 
647,0, ,228,54-55,60-258-259, , ,263,110, , , 
648,209, , ,55,259, , , , ,278, , 
649, ,15,44-52,54, , ,78, , , ,128, 
650, , ,247, , , ,77, , ,278, , 
651, , , , , , ,78, , ,127, , 
652,3, ,52,54, , ,77, , , , , 
653, , ,228-237,54-55,257, , , , ,278, , 
654,0, ,229-248-318,54-55,67, , ,84, ,278, , 
655,208, , ,53-55,66, , ,84, , ,84, 
656, ,216,52,54,66, , , , ,127, , 
657,0, ,229,55, , , ,84, ,278, , 
658,0, , ,53-55, , ,78, , , , , 
659, , , , , , ,77, , , , , 
660, , , , , , ,77, , ,127, , 
661,0, , , ,64, , , , ,278, , 
662,208, , ,53-54-55,257, , , , ,278, , 
663, , ,237,55, , ,77, , ,127, , 
664,0, ,237,55,257, , , , ,278, , 
665, , ,228-247,54-55, , ,78, , ,278, , 
666,0, ,237,55, , , , , ,278, , 
667, , , , , , ,77, , , , , 
669, , , , , , ,78, , ,127, , 
670,1, , ,53-54, , , , , ,278, , 
671,1, ,228,54-55, , , ,84, ,127, , 
672, , , , , , ,77, , ,127, , 
673,208, ,52,54-55,60, , , , ,127, , 
675,0, , ,53-54, , ,78, ,110, , , 
676,2, , ,53-54,259, , , , ,127, , 
677, ,312,237,54-55,65-67, , , ,273, , , 
678, , ,314-247-320,55,258, , ,84, , ,84, 
679, , ,314-237,54-55,65, , , , ,278, , 
680, , ,228-229,54-55, , ,78, , ,127, , 
681,1, , ,53-54-55,67, , , , ,127, , 
682,208, ,316-237,54-55,64-257, , , , ,278, , 
683, , , , , , ,78, , , , , 
684, , ,229-319,54-55, , , ,84, ,127, , 
685,0, ,229-321,54-55, , , , ,325, , , 
