NodeID,birthday;anonymized-circle4,education;concentration;id;anonymized-circle4,education;school;id;anonymized-circle4,education;type;anonymized-circle4,education;year;id;anonymized-circle4,first_name;anonymized-circle4,gender;anonymized-circle4,hometown;id;anonymized-circle4,last_name;anonymized-circle4,locale;anonymized-circle4,location;id;anonymized-circle4,name;anonymized-circle4
647,0, ,228,54-55,60-258-259, , ,263,110, , , 
583,1, , ,53-55, , ,78, , ,278, , 
661,0, , , ,64, , , , ,278, , 
578,1, , ,53-55,67, , ,84, , , , 
576,0, , ,53-55,67, , , , ,278, , 
615, , , , , , ,77, , , , , 
600,0, ,247, , , ,78, , ,278, , 
595,1, , ,53-55, , ,77, , , , , 
582,1, , ,53-54-55,67, , , ,275, , , 
599, , ,228-247,55, , ,77, , , ,84, 
500,0, , , , , , , ,275, , , 
635, , ,321,54, , ,77, ,273, ,84, 
632, , ,228-236,54, , ,78, , , , , 
675,0, , ,53-54, , ,78, ,110, , , 
662,208, , ,53-54-55,257, , , , ,278, , 
670,1, , ,53-54, , , , , ,278, , 
628, ,15-311,228-236,54,71, , ,84,110, , , 
658,0, , ,53-55, , ,78, , , , , 
643,0, , ,53-54-55,65-67, , ,84, ,278, , 
659, , , , , , ,77, , , , , 
577, , ,228,54-55,66-257, , ,84, ,127, , 
665, , ,228-247,54-55, , ,78, , ,278, , 
681,1, , ,53-54-55,67, , , , ,127, , 
640, , ,228,55,67, , , , ,278, , 
650, , ,247, , , ,77, , ,278, , 
627,1, , ,53-54-55,64-67, , , ,275, , , 
